Sherman  ,2,71.8683259846
Kevin  ,2,53.6136254692
Glynis  ,3,205.821481776
Arden  ,2,98.3812886092
Julie  ,2,108.488736768
Ronna  ,2,55.5778364668
Hilaria  ,2,120.55060823
Cherelle  ,2,121.854113645
Fannie  ,2,104.62446768
Clair  ,2,118.108606681
Mozella  ,2,144.10146665
Shani  ,2,17.0645628885
Leon  ,2,145.65998038
Randell  ,2,136.040421896
Nieves  ,2,96.1586752527
Tenesha  ,2,68.7956867986
Linn  ,2,142.705846397
Otto  ,2,111.192995108
Sherill  ,2,95.326966063
Garry  ,2,95.2309120654
Jule  ,2,101.429670702
Jake  ,2,90.3308722088
Jamison  ,2,99.4973358838
Celinda  ,2,43.1792563676
Alda  ,2,19.4165065563
Hyacinth  ,2,106.480176774
Trevor  ,2,128.405616449
Joycelyn  ,2,80.3839892507
Chris  ,2,118.347018422
Scot  ,2,45.7096305141
Leora  ,2,106.720350084
Hien  ,2,55.6496148245
Mendy  ,2,145.544942266
Grayce  ,2,67.3391144902
Lexie  ,2,111.165341301
Ernesto  ,2,98.8834207738
Shasta  ,2,48.3472706922
Shondra  ,2,65.1756365723
Todd  ,2,116.557602272
Ariana  ,2,89.1183126116
Ailene  ,2,97.9026908126
Maximo  ,2,130.947923525
Lyda  ,2,122.120998566
Ignacia  ,2,88.3751728246
Tomi  ,2,72.3966251648
Kyle  ,2,110.557181577
Antonietta  ,2,137.387895982
Clarita  ,2,65.1114204493
Leona  ,2,91.8311729691
Anika  ,2,101.488530359
Thomasena  ,2,174.585076933
Larhonda  ,2,101.431753797
Richelle  ,2,77.8704522977
Florentina  ,2,91.2454054505
Alison  ,2,157.384270866
Willis  ,2,31.3986789015
Ronda  ,3,174.810492834
Aleisha  ,2,96.0476268862
Fidel  ,2,84.8767491985
Carisa  ,2,96.8620041824
